Gran grupo,Sub grupo principal,Sub grupo,Grupo primario,Descripcion CNO 2015,Orden
,,,7333,Encuadernadores y afines,479
,,,7334,Reveladores de fotografías,480
,,734,,Trabajadores de fibras textiles y tejedores,481
,,,7341,Trabajadores en la preparación de fibras textiles e hilados,482
,,,7342,Tejedores de fibras textiles ,483
,,735,,Trabajadores en la elaboración de productos textiles y confeccionistas,484
,,,7351,Tejedores a mano en telares,485
,,,7352,"Sastres, modistos, costureros y sombrereros",486
,,,7353,Patronistas y cortadores de tela y afines,487
,,,7354,"Bordadores, reparadores y ayudantes de costura",488
,,,7355,"Tapiceros, colchoneros y afines",489
,,,7356,Estampadores textiles,490
,,736,, Trabajadores en el tratamiento y elaboración del cuero y piel,491
,,,7361,"Apelambradores, pellejeros, curtidores y teñidores de cuero",492
,,,7362,Zapateros y afines,493
,,739,,"Otros artesanos y trabajadores en la elaboración de productos de madera, papel, textiles cuero y piel",494
,,,7391,"Trabajadores especializados en la elaboración de productos de hule, caucho, plásticos y afines",495
,,,7392,"Artesanos y trabajadores en la elaboración de productos de vidrio, hueso, conchas y afines",496
,,,7399,"Otros artesanos y trabajadores en la elaboración de productos de madera, papel, textiles cuero y piel",497
,74,,,"Trabajadores especializados en electricidad, equipos electrónicos de telecomunicaciones e instrumentos de precisión y musicales y de otros oficios",498
,,741,,Instaladores y reparadores de equipos eléctricos,499
,,,7411,Electricistas y afines,500
,,,7412,Instaladores y reparadores de líneas eléctricas,501
,,742,,Instaladores y reparadores de equipos electrónicos y de telecomunicaciones,502
,,,7421,Reparadores de equipos electrónicos y afines,503
,,,7422,Instaladores y reparadores en tecnología de la información y las comunicaciones,504
,,743,,Fabricantes mecánicos de instrumentos de precisión e instrumentos musicales,505
,,,7431,Mecánicos y reparadores de instrumentos de precisión,506
,,,7432,Fabricantes y afinadores de instrumentos musicales,507
,75,,,"Trabajadores en el procesamiento y elaboración de alimentos, bebidas y productos de tabaco",508
,,751,,"Trabajadores en la elaboración y procesamiento de alimentos, bebidas y productos del tabaco",509
,,,7511,"Trabajadores en la elaboración de productos de carne, pescados y afines",510
,,,7512,Trabajadores en la elaboración de harinas (excepto harina de pescado),511
,,,7513,"Panaderos, pasteleros y confiteros ",512
,,,7514,Trabajadores en la elaboración de productos lácteos. ,513
,,,7515,"Trabajadores en la elaboración y conservación de productos elaborados a base de frutas, legumbres, verduras y afines. ",514
